SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-A	111-114	AIF104-3	Logika Informatika	C	112
AIF105-3	Pengantar Informatika	C	111	AIF106-3	Sistem Dijital	B	112
AIF191-3	Pemrograman Berorientasi Objek	D-A	111-112	AIF192-3	Algoritma & Struktur Data	C	121
MKU001-2	Pendidikan Pancasila	C	111	AMS100-4	Matematika Informatika	D-A	111-114
MKU008-2	Etika	E-B	111-132	MKU009-2	Bahasa Indonesia	D	142
MKU010-2	Bahasa Inggris	A	112	MKU011-2	Estetika	A	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	121	AIF206-4	Sistem Operasi	D-C	121-124
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF208-4	Rekayasa Perangkat Lunak	C	122
AMS200-3	Probabilitas & Statistika	D-B	122-141	AIF210-2	Interaksi Manusia Komputer	B	122
MKU003-2	Pendidikan Agama (katolik)	A	122	AIF292-3	Desain & Analisis Algoritma	D	122
MKU012-2	Logika	D-A	121-131	AIF294-3	Manajemen Informasi & Basis Data	E-B	121-124

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-A	111-144	AIF104-3	Logika Informatika	D-A	112-144
AIF105-3	Pengantar Informatika	C	111	AIF106-3	Sistem Dijital	C	112
AIF191-3	Pemrograman Berorientasi Objek	C	111	AIF192-3	Algoritma & Struktur Data	C	121
MKU001-2	Pendidikan Pancasila	D	111	AMS100-4	Matematika Informatika	A	111
MKU008-2	Etika	B	111	MKU009-2	Bahasa Indonesia	C	132
MKU010-2	Bahasa Inggris	A	112	MKU011-2	Estetika	C	131

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	121	AIF202-4	Desain & Analisis Algoritma	B	151
AIF203-4	Struktur Diskrit	A	151	AIF204-4	Manajemen Informasi & Basis Data <<	B	152
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF206-4	Sistem Operasi	D	121
AMS200-3	Probabilitas & Statistika	D-C	122-141	AIF208-4	Rekayasa Perangkat Lunak	D	122
MKU003-2	Pendidikan Agama (katolik)	B	141	AIF210-2	Interaksi Manusia Komputer	D	122
MKU012-2	Logika	A	114	AIF292-3	Desain & Analisis Algoritma [X]	E	122
				AIF294-3	Manajemen Informasi & Basis Data [X]	E	121

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	B	111	AIF102-4	Algoritma & Struktur Data	E-B	122-132
AIF105-3	Pengantar Informatika	C	111	AIF104-3	Logika Informatika	E-B	112-134
AIF191-3	Pemrograman Berorientasi Objek	D-C	111-124	AIF106-3	Sistem Dijital	E-C	112-114
MKU001-2	Pendidikan Pancasila	B	111	AIF192-3	Algoritma & Struktur Data [X]	E	121
MKU008-2	Etika	B	111	AMS190-3	Matematika Informatika	E-C	112-114
MKU010-2	Bahasa Inggris	C	112	MKU009-2	Bahasa Indonesia	B	141
				MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	E-C	121-131	AIF202-4	Desain & Analisis Algoritma	D	142
AIF203-4	Struktur Diskrit	A	151	AIF206-4	Sistem Operasi	D	121
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF208-4	Rekayasa Perangkat Lunak	D-C	122-144
AMS200-3	Probabilitas & Statistika	D-E	122-141	AIF210-2	Interaksi Manusia Komputer	C	122
MKU003-2	Pendidikan Agama (katolik)	B	122	AIF294-3	Manajemen Informasi & Basis Data	D	121
MKU012-2	Logika	A	132				
+
