SEMESTER 1			SEMESTER 2			
AIF101-6	Pemrograman Berorientasi Objek	A	131	AIF102-4	Algoritma & Struktur Data	A	132
AIF103-3	Matematika Diskrit	B	131	AIF104-3	Logika Informatika	A	132
AIF105-3	Pengantar Informatika	B	131	AIF106-3	Sistem Dijital	B	132
MKU001-2	Pendidikan Pancasila	B	131	AMS100-4	Matematika Informatika	A	132
MKU008-2	Etika	A	131	MKU009-2	Bahasa Indonesia	C	132
MKU010-2	Bahasa Inggris	A	131	MKU011-2	Estetika	B	132

			SEMESTER 4			
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	B	142
AIF203-4	Struktur Diskrit	B	141	AIF204-4	Manajemen Informasi & Basis Data	B	142
AIF205-3	Arsitektur & Organisasi Komputer	B	141	AIF206-4	Sistem Operasi	B	142
AMS200-3	Probabilitas & Statistika	C	141	AIF208-4	Rekayasa Perangkat Lunak	D	142
MKU004-2	Pendidikan Agama (fenomenologi)	B	132	AIF210-2	Interaksi Manusia Komputer	A	142
MKU012-2	Logika	C	132				

SEMESTER 1			SEMESTER 2		
AIF101-6	Pemrograman Berorientasi Objek	A	131	AIF102-4	Algoritma & Struktur Data	B	132
AIF103-3	Matematika Diskrit	B	131	AIF104-3	Logika Informatika	A	132
AIF105-3	Pengantar Informatika	A	131	AIF106-3	Sistem Dijital	A	132
MKU001-2	Pendidikan Pancasila	B	131	AMS100-4	Matematika Informatika	A	132
MKU008-2	Etika	A	131	MKU009-2	Bahasa Indonesia	B	132
MKU010-2	Bahasa Inggris	A	131	MKU011-2	Estetika	A	132

			SEMESTER 4		
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	C	142
AIF203-4	Struktur Diskrit	B	141	AIF204-4	Manajemen Informasi & Basis Data	B	142
AIF205-3	Arsitektur & Organisasi Komputer	A	141	AIF206-4	Sistem Operasi	A	142
AMS200-3	Probabilitas & Statistika	B	141	AIF208-4	Rekayasa Perangkat Lunak	B	142
MKU003-2	Pendidikan Agama (katolik)	B	141	AIF210-2	Interaksi Manusia Komputer	A	142
MKU012-2	Logika	A	132				

SEMESTER 1			SEMESTER 2
AIF101-6	Pemrograman Berorientasi Objek	E-A	131-132	AIF102-4	Algoritma & Struktur Data	A	132
AIF103-3	Matematika Diskrit	A	131	AIF104-3	Logika Informatika	A	132
AIF105-3	Pengantar Informatika	A	131	AIF106-3	Sistem Dijital	A	132
MKU001-2	Pendidikan Pancasila	A	131	AMS100-4	Matematika Informatika	A	132
MKU008-2	Etika	A	131	MKU009-2	Bahasa Indonesia	B	151
MKU010-2	Bahasa Inggris	A	131	MKU011-2	Estetika	A	151

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	A	142
AIF203-4	Struktur Diskrit	A	141	AIF204-4	Manajemen Informasi & Basis Data	B	142
AIF205-3	Arsitektur & Organisasi Komputer	B	141	AIF206-4	Sistem Operasi	B	142
AMS200-3	Probabilitas & Statistika	A	141	AIF208-4	Rekayasa Perangkat Lunak	A	142
MKU003-2	Pendidikan Agama (katolik)	B	141	AIF210-2	Interaksi Manusia Komputer	A	142
MKU012-2	Logika	A	142				

SEMESTER 1			SEMESTER 2			
AIF101-6	Pemrograman Berorientasi Objek	A	131	AIF102-4	Algoritma & Struktur Data	B	132
AIF103-3	Matematika Diskrit	B	131	AIF104-3	Logika Informatika	A	132
AIF105-3	Pengantar Informatika	A	131	AIF106-3	Sistem Dijital	A	132
MKU001-2	Pendidikan Pancasila	B	131	AMS100-4	Matematika Informatika	B	132
MKU008-2	Etika	B	131	MKU009-2	Bahasa Indonesia	B	132
MKU010-2	Bahasa Inggris	A	131	MKU011-2	Estetika	A	132

			SEMESTER 4		
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	C	142
AIF203-4	Struktur Diskrit	B	141	AIF204-4	Manajemen Informasi & Basis Data	C	142
AIF205-3	Arsitektur & Organisasi Komputer	B	141	AIF206-4	Sistem Operasi	B	142
AMS200-3	Probabilitas & Statistika	D	141	AIF208-4	Rekayasa Perangkat Lunak	C	142
MKU003-2	Pendidikan Agama (katolik)	B	141	AIF210-2	Interaksi Manusia Komputer	A	142
MKU012-2	Logika	A	132				

SEMESTER 1			SEMESTER 2		
AIF101-6	Pemrograman Berorientasi Objek	A	131	AIF102-4	Algoritma & Struktur Data	A	132
AIF103-3	Matematika Diskrit	A	131	AIF104-3	Logika Informatika	A	132
AIF105-3	Pengantar Informatika	B	131	AIF106-3	Sistem Dijital	A	132
MKU001-2	Pendidikan Pancasila	B	131	AMS100-4	Matematika Informatika	B	132
MKU008-2	Etika	B	131	MKU009-2	Bahasa Indonesia	C	132
MKU010-2	Bahasa Inggris	A	131	MKU011-2	Estetika	A	132

			SEMESTER 4		
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	B	142
AIF203-4	Struktur Diskrit	A	141	AIF204-4	Manajemen Informasi & Basis Data	B	142
AIF205-3	Arsitektur & Organisasi Komputer	A	141	AIF206-4	Sistem Operasi	A	142
AMS200-3	Probabilitas & Statistika	A	141	AIF208-4	Rekayasa Perangkat Lunak	B	142
MKU003-2	Pendidikan Agama (katolik)	A	141	AIF210-2	Interaksi Manusia Komputer	A	142
MKU012-2	Logika	A	141				

SEMESTER 1			SEMESTER 2		
AIF101-6	Pemrograman Berorientasi Objek	A	131	AIF102-4	Algoritma & Struktur Data	A	132
AIF103-3	Matematika Diskrit	A	131	AIF104-3	Logika Informatika	A	132
AIF105-3	Pengantar Informatika	A	131	AIF106-3	Sistem Dijital	A	132
MKU001-2	Pendidikan Pancasila	B	131	AMS100-4	Matematika Informatika	A	132
MKU008-2	Etika	A	131	MKU009-2	Bahasa Indonesia	B	132
MKU010-2	Bahasa Inggris	A	131	MKU011-2	Estetika	A	132

			SEMESTER 4			
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	A	142
AIF203-4	Struktur Diskrit	A	141	AIF204-4	Manajemen Informasi & Basis Data	A	142
AIF205-3	Arsitektur & Organisasi Komputer	A	141	AIF206-4	Sistem Operasi	A	142
AMS200-3	Probabilitas & Statistika	A	141	AIF208-4	Rekayasa Perangkat Lunak	A	142
MKU003-2	Pendidikan Agama (katolik)	B	141	AIF210-2	Interaksi Manusia Komputer	A	142
MKU012-2	Logika	A	132				

SEMESTER 1			SEMESTER 2
AIF101-6	Pemrograman Berorientasi Objek	A	131	AIF102-4	Algoritma & Struktur Data	A	132
AIF103-3	Matematika Diskrit	A	131	AIF104-3	Logika Informatika	B	132
AIF105-3	Pengantar Informatika	A	131	AIF106-3	Sistem Dijital	B	132
MKU001-2	Pendidikan Pancasila	C	131	AMS100-4	Matematika Informatika	A	132
MKU008-2	Etika	A	131	MKU009-2	Bahasa Indonesia	B	132
MKU010-2	Bahasa Inggris	A	131	MKU011-2	Estetika	B	132

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	B	142
AIF203-4	Struktur Diskrit	A	141	AIF204-4	Manajemen Informasi & Basis Data	B	142
AIF205-3	Arsitektur & Organisasi Komputer	B	141	AIF206-4	Sistem Operasi	A	142
AMS200-3	Probabilitas & Statistika	B	141	AIF208-4	Rekayasa Perangkat Lunak	B	142
MKU004-2	Pendidikan Agama (fenomenologi)	A	141	AIF210-2	Interaksi Manusia Komputer	A	142
MKU012-2	Logika	A	132				

SEMESTER 1			SEMESTER 2
AIF101-6	Pemrograman Berorientasi Objek	A	131	AIF102-4	Algoritma & Struktur Data	A	132
AIF103-3	Matematika Diskrit	B	131	AIF104-3	Logika Informatika	A	132
AIF105-3	Pengantar Informatika	A	131	AIF106-3	Sistem Dijital	A	132
MKU001-2	Pendidikan Pancasila	B	131	AMS100-4	Matematika Informatika	A	132
MKU008-2	Etika	C	131	MKU009-2	Bahasa Indonesia	B	132
MKU010-2	Bahasa Inggris	A	131	MKU011-2	Estetika	A	132

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	141	AIF202-4	Desain & Analisis Algoritma	A	142
AIF203-4	Struktur Diskrit	A	141	AIF204-4	Manajemen Informasi & Basis Data	B	142
AIF205-3	Arsitektur & Organisasi Komputer	A	141	AIF206-4	Sistem Operasi	A	142
AMS200-3	Probabilitas & Statistika	B	141	AIF208-4	Rekayasa Perangkat Lunak	C	142
