SEMESTER 1			SEMESTER 2		
AIF103-3	Matematika Diskrit	B	121	AIF102-4	Algoritma & Struktur Data	E-A	122-132
AIF105-3	Pengantar Informatika	C	121	AIF104-3	Logika Informatika	E-C	122-132
AIF191-3	Pemrograman Berorientasi Objek	B	121	AIF106-3	Sistem Dijital	E-A	122-132
MKU001-2	Pendidikan Pancasila	C	121	AMS100-4	Matematika Informatika	B	121
MKU008-2	Etika	B	121	MKU009-2	Bahasa Indonesia	B	151
MKU010-2	Bahasa Inggris	E-A	122-142	MKU011-2	Estetika	E-B	122-132

			SEMESTER 4			
AIF201-4	Analisis & Desain Berorientasi Objek	A	141	AIF202-4	Desain & Analisis Algoritma	B	142
AIF203-4	Struktur Diskrit	B	141	AIF204-4	Manajemen Informasi & Basis Data	B	142
AIF205-3	Arsitektur & Organisasi Komputer	C	141	AIF206-4	Sistem Operasi	C	142
AMS200-3	Probabilitas & Statistika	B	141	AIF208-4	Rekayasa Perangkat Lunak	C	142
MKU004-2	Pendidikan Agama (fenomenologi)	C	132	AIF210-2	Interaksi Manusia Komputer	C	142
MKU012-2	Logika	A	132				
+
