SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-C	121-124	AIF102-4	Algoritma & Struktur Data	E-D	122-142
AIF105-3	Pengantar Informatika	E-C	121-171	AIF104-3	Logika Informatika	E-B	122-132
AIF191-3	Pemrograman Berorientasi Objek	C	121	AIF106-3	Sistem Dijital	D	122
MKU001-2	Pendidikan Pancasila	D	121	AMS190-3	Matematika Informatika	C	122
MKU008-2	Etika	C	121	MKU009-2	Bahasa Indonesia	C	142
MKU010-2	Bahasa Inggris	B	122	MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	131	AIF202-4	Desain & Analisis Algoritma	C	151-152
AIF203-4	Struktur Diskrit	C	131	AIF204-4	Manajemen Informasi & Basis Data	E-D	132-162
AIF205-3	Arsitektur & Organisasi Komputer	D-B	131-144	AIF206-4	Sistem Operasi	C	132
AMS200-3	Probabilitas & Statistika	C	131	AIF208-4	Rekayasa Perangkat Lunak	D	132
MKU003-2	Pendidikan Agama (katolik)	C	131	AIF210-2	Interaksi Manusia Komputer	C	132
MKU012-2	Logika	B	131				
+
