SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	A	111	AIF104-3	Logika Informatika	A	112
AIF105-3	Pengantar Informatika	A	111	AIF106-3	Sistem Dijital	A	112
AIF191-3	Pemrograman Berorientasi Objek	A	112	AIF192-3	Algoritma & Struktur Data	B	121
MKU001-2	Pendidikan Pancasila	C	111	AMS100-4	Matematika Informatika	A	111
MKU008-2	Etika	A	111	MKU009-2	Bahasa Indonesia	C	131
MKU010-2	Bahasa Inggris	A	112	MKU011-2	Estetika	E-E-D	141-142-151

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	121	AIF206-4	Sistem Operasi	A	121
AIF203-4	Struktur Diskrit	E-A	151-161	AIF208-4	Rekayasa Perangkat Lunak	B	122
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF210-2	Interaksi Manusia Komputer	B	122
AMS200-3	Probabilitas & Statistika	E-B	112-122	AIF292-3	Desain & Analisis Algoritma	C	122
MKU003-2	Pendidikan Agama (katolik)	E-B	122-131	AIF294-3	Manajemen Informasi & Basis Data	E-A	121-124
MKU012-2	Logika	A	122				

SEMESTER 1			SEMESTER 2
AIF101-6	Pemrograman Berorientasi Objek	D	131	AIF104-3	Logika Informatika	D	112
AIF103-3	Matematika Diskrit	B	111	AIF106-3	Sistem Dijital	B	112
AIF105-3	Pengantar Informatika	A	111	AIF192-3	Algoritma & Struktur Data	B	121
AIF191-3	Pemrograman Berorientasi Objek [X]	D	112	AMS100-4	Matematika Informatika	A	111
MKU001-2	Pendidikan Pancasila	D	111	MKU009-2	Bahasa Indonesia	E-C	132-141
MKU008-2	Etika	C	111	MKU011-2	Estetika	C	121
MKU010-2	Bahasa Inggris	C	112				

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	A	121	AIF206-4	Sistem Operasi	B	121
AIF205-3	Arsitektur & Organisasi Komputer	B	121	AIF208-4	Rekayasa Perangkat Lunak	C	122
AMS200-3	Probabilitas & Statistika	C	122	AIF210-2	Interaksi Manusia Komputer	C	122
MKU004-2	Pendidikan Agama (fenomenologi)	B	122	AIF292-3	Desain & Analisis Algoritma	B	122
MKU012-2	Logika	B	132	AIF294-3	Manajemen Informasi & Basis Data	C	121
