SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	A	101	AIF102-4	Algoritma & Struktur Data	C	122
AIF105-3	Pengantar Informatika	C	101	AIF104-3	Logika Informatika	B	102
AIF181-3	Dasar-dasar Pemrograman	B	102	AIF106-3	Sistem Dijital	B	102
AIF191-3	Pemrograman Berorientasi Objek	B	101	AIF182-2	Pengantar Basis Data	B	102
MKU001-2	Pendidikan Pancasila	B	101	AIF192-3	Algoritma & Struktur Data [X]	E	111
MKU008-2	Etika	B	101	AMS100-4	Matematika Informatika	A	101
MKU010-2	Bahasa Inggris	A	102	AMS290-3	Aljabar Linear & Matriks [X]	C	102
				ESM203-3	Pengantar Manajemen Pemasaran	C	122
				MKU009-2	Bahasa Indonesia	C	132
				MKU011-2	Estetika	B	111

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	C	111	AIF202-4	Desain & Analisis Algoritma	E-D	132-142
AIF205-3	Arsitektur & Organisasi Komputer	A	111	AIF206-4	Sistem Operasi	D	111
AIF281-2	Pengenalan Bidang Ilmu Teknologi Informasi	C	111	AIF210-2	Interaksi Manusia Komputer	B	112
AMS200-3	Probabilitas & Statistika	D	112	AIF280-1	Praktika Interaksi Manusia Komputer	B	112
ESM204-3	Manajemen Keuangan I	C	122	AIF294-3	Manajemen Informasi & Basis Data	C	111
MKU004-2	Pendidikan Agama (fenomenologi)	E-B	131-132				
MKU012-2	Logika	C	112		
+		
