SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-A	111-114	AIF102-4	Algoritma & Struktur Data	E-C	132-141
AIF105-3	Pengantar Informatika	C	111	AIF104-3	Logika Informatika	E-A	112-134
AIF191-3	Pemrograman Berorientasi Objek	C	111	AIF106-3	Sistem Dijital	E-C	112-142
MKU001-2	Pendidikan Pancasila	D	111	AIF192-3	Algoritma & Struktur Data [X]	E	121
MKU008-2	Etika	B	111	AMS100-4	Matematika Informatika	D-D	111-114
MKU010-2	Bahasa Inggris	E-C	112-141	MKU009-2	Bahasa Indonesia	D	132
				MKU011-2	Estetika	B	122

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	121	AIF202-4	Desain & Analisis Algoritma	D	142
AIF205-3	Arsitektur & Organisasi Komputer	C	121	AIF206-4	Sistem Operasi	C	121
AMS200-3	Probabilitas & Statistika	B	122	AIF208-4	Rekayasa Perangkat Lunak	D	122
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	C	122
MKU012-2	Logika	D	122	AIF294-3	Manajemen Informasi & Basis Data	D	121

SEMESTER 1			SEMESTER 2
AIF103-3	Matematika Diskrit	D-D	111-121	AIF102-4	Algoritma & Struktur Data	B	122
AIF105-3	Pengantar Informatika	E-A	111-121	AIF104-3	Logika Informatika	B	122
AIF191-3	Pemrograman Berorientasi Objek	E-E-E-A	111-112-121-122	AIF106-3	Sistem Dijital	E-A	112-122
MKU001-2	Pendidikan Pancasila	E-A	111-121	AKS122-2	Logika Formal Dasar [X]	E	112
MKU008-2	Etika	-A	111-121	AMS190-3	Matematika Informatika	E-A	112-122
MKU010-2	Bahasa Inggris	D-A	112-122	MKU009-2	Bahasa Indonesia	B	142
				MKU011-2	Estetika	B	151

			SEMESTER 4
AIF201-4	Analisis & Desain Berorientasi Objek	B	131	AIF202-4	Desain & Analisis Algoritma	E-C	132-142
AIF203-4	Struktur Diskrit	B	131	AIF204-4	Manajemen Informasi & Basis Data	E-B	132-152
AIF205-3	Arsitektur & Organisasi Komputer	B	131	AIF206-4	Sistem Operasi	E-B	132-142
AMS200-3	Probabilitas & Statistika	B	131	AIF208-4	Rekayasa Perangkat Lunak	E-B	132-142
MKU003-2	Pendidikan Agama (katolik)	B	131	AIF210-2	Interaksi Manusia Komputer	C	132
MKU012-2	Logika	C	131				
